object_id,utility_company,start_datetime,estimated_restoration_datetime,cause,impacted_customers,county,outage_status,outage_type,incident_id,estimated_restoration_hours
10197848,PGE,2026-06-10 16:31:25+00:00,2026-06-10 20:00:00+00:00,PLNND SHUTDOWN,1,MONTEREY,Active,Planned,276071,3.4763888888888888
10197849,PGE,2026-06-10 16:36:15+00:00,2026-06-11 02:30:00+00:00,UNKNOWN / NOT PROVIDED,52,SAN MATEO,Active,Not Planned,276073,9.895833333333334
10197850,PGE,2026-06-10 16:54:04+00:00,2026-06-10 22:00:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN LUIS OBISPO,Active,Not Planned,276112,5.098888888888889
10197851,PGE,2026-06-10 16:54:00+00:00,2026-06-10 22:00:00+00:00,PLNND SHUTDOWN,10,CALAVERAS,Active,Planned,276113,5.1
10197852,PGE,2026-06-10 15:01:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,1,MADERA,Active,Planned,276116,7.983333333333333
10197853,PGE,2026-06-10 15:01:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,1,MADERA,Active,Planned,276118,7.983333333333333
10197854,PGE,2026-06-10 16:58:54+00:00,2026-06-10 23:15:00+00:00,UNKNOWN / NOT PROVIDED,1,SANTA CLARA,Active,Not Planned,276119,6.2683333333333335
10197855,PGE,2026-06-10 16:54:04+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,43,EL DORADO,Active,Planned,276120,6.098888888888889
10197856,PGE,2026-06-10 17:01:00+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,325,MARIN,Active,Planned,276123,6.983333333333333
10197857,PGE,2026-06-10 17:02:53+00:00,2026-06-10 20:30:00+00:00,REPLCE SRVC,1,SONOMA,Active,Not Planned,276125,3.4519444444444445
10197858,PGE,2026-06-10 16:03:00+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,11,SAN MATEO,Active,Planned,276126,7.95
10197859,PGE,2026-06-10 17:07:48+00:00,2026-06-10 23:45:00+00:00,BRKN UG EQUIPMNT,21,SANTA CLARA,Active,Not Planned,276130,6.62
10197860,PGE,2026-06-10 17:11:39+00:00,2026-06-10 23:45:00+00:00,UNKNOWN / NOT PROVIDED,1,SAN JOAQUIN,Active,Not Planned,276134,6.555833333333333
10197861,PGE,2026-06-10 17:12:06+00:00,2026-06-11 00:00:00+00:00,PLNND SHUTDOWN,24,CONTRA COSTA,Active,Planned,276136,6.798333333333333
10197862,PGE,2026-06-10 17:14:00+00:00,2026-06-10 23:00:00+00:00,PLNND SHUTDOWN,32,SANTA CLARA,Active,Planned,276138,5.766666666666667
10197863,PGE,2026-06-10 17:18:20+00:00,2026-06-10 21:00:00+00:00,UNKNOWN / NOT PROVIDED,21,CONTRA COSTA,Active,Not Planned,276142,3.6944444444444446
